"man.source","app.mthd.nm","Marts","April","Maj","Sommer","Efterår"
"Afgasset biomasse","Slæbeslange",28,29,30,30,30
"Afgasset biomasse","Slæbeslange + markforsuring",14,17,20,22,21
"Afgasset biomasse","Nedfældning i græs",16,17,17,17,17
"Afgasset biomasse","Nedfældning på sort jord",2.6,2.6,2.6,2.6,2.6
"Afgasset biomasse","Slæbeslange + Nedbringning inden 4 timer",8.7,13,17,20,19
"Kvæggylle","Slæbeslange",22,27,30,33,32
"Kvæggylle","Slæbeslange + markforsuring",15,19,23,28,26
"Kvæggylle","Nedfældning i græs",12,14,15,16,15
"Kvæggylle","Nedfældning på sort jord",1.6,1.6,1.6,1.6,1.6
"Kvæggylle","Slæbeslange + Nedbringning inden 4 timer",3.1,4.7,7.2,11,9.2
"Svinegylle","Slæbeslange",14,15,15,16,15
"Svinegylle","Slæbeslange + markforsuring",9.6,11,12,12,12
"Svinegylle","Nedfældning i græs",9.7,9.8,9.9,10,10
"Svinegylle","Nedfældning på sort jord",1.8,1.8,1.8,1.8,1.8
"Svinegylle","Slæbeslange + Nedbringning inden 4 timer",2.4,3.5,4.9,6.7,5.8
