"app.timing","app.mthd","man.source","man.trt","app.timing.dk","air.temp","wind.2m","rain.rate","app.rate.ni","acid","man.dm","man.ph","ct","tan.app","id","EF","EFp","id.report","incorp","t.incorp","EFp.report"
"April","Closed slot injection","Afgasset biomasse","None","April",8.23645983645984,3.84445591865745,0.0552119412831931,0,"0 kg/t",5.1,7.9,168,100,12,0.026,2.6,NA,NA,NA,NA
"April","Closed slot injection","Afgasset biomasse","None","April",8.23645983645984,3.84445591865745,0.0552119412831931,0,"0 kg/t",6.9,7.9,168,100,42,0.027,2.7,NA,NA,NA,NA
"April","Open slot injection","Afgasset biomasse","None","April",8.23645983645984,3.84445591865745,0.0552119412831931,0,"0 kg/t",5.1,7.9,168,100,7,0.17,17,NA,NA,NA,NA
"April","Open slot injection","Afgasset biomasse","None","April",8.23645983645984,3.84445591865745,0.0552119412831931,0,"0 kg/t",6.9,7.9,168,100,37,0.21,21,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","Field acidified","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"11 kg/t",5.1,6.52,168,100,17,0.17,17,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","Field acidified","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"3.4 kg/t",5.1,7.19,168,100,22,0.24,24,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","Field acidified","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"7.5 kg/t",5.1,6.79,168,100,27,0.2,20,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","Field acidified","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"11 kg/t",6.9,6.52,168,100,47,0.2,20,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","Field acidified","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"3.4 kg/t",6.9,7.19,168,100,52,0.3,30,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","Field acidified","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"7.5 kg/t",6.9,6.79,168,100,57,0.24,24,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","None","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"0 kg/t",5.1,7.9,168,100,2,0.29,29,NA,NA,NA,NA
"April","Trailing hose","Afgasset biomasse","None","April",8.23645983645984,3.84445591865745,0.0552119412831931,30,"0 kg/t",6.9,7.9,168,100,32,0.39,39,NA,NA,NA,NA
"Autumn","Closed slot injection","Afgasset biomasse","None","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,0,"0 kg/t",5.1,7.9,168,100,15,0.026,2.6,NA,NA,NA,NA
"Autumn","Closed slot injection","Afgasset biomasse","None","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,0,"0 kg/t",6.9,7.9,168,100,45,0.027,2.7,NA,NA,NA,NA
"Autumn","Open slot injection","Afgasset biomasse","None","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,0,"0 kg/t",5.1,7.9,168,100,10,0.17,17,NA,NA,NA,NA
"Autumn","Open slot injection","Afgasset biomasse","None","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,0,"0 kg/t",6.9,7.9,168,100,40,0.22,22,NA,NA,NA,NA
"Autumn","Trailing hose","Afgasset biomasse","Field acidified","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,30,"11 kg/t",5.1,6.52,168,100,20,0.21,21,NA,NA,NA,NA
"Autumn","Trailing hose","Afgasset biomasse","Field acidified","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,30,"3.4 kg/t",5.1,7.19,168,100,25,0.26,26,NA,NA,NA,NA
"Autumn","Trailing hose","Afgasset biomasse","Field acidified","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,30,"7.5 kg/t",5.1,6.79,168,100,30,0.23,23,NA,NA,NA,NA
"Autumn","Trailing hose","Afgasset biomasse","Field acidified","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,30,"11 kg/t",6.9,6.52,168,100,50,0.27,27,NA,NA,NA,NA
"Autumn","Trailing hose","Afgasset biomasse","Field acidified","Efterår",14.4977479635841,3.32276959833633,0.128260170445409,30,"3.4 kg/t",6.9,7.19,168,100,55,0.35,35,NA,NA,NA,NA
