Id,TrialDescription,Country,InstituteName,TreatmentID,ReplicateNumber,NumberOfReplicates,IfMeanHowCalculated,IfMeanWhatVariationUnit,DegreeOfVariation,DescribeStatMethodUsed,SourceOfData,Latitude,Longitude,OnlineLinkPaper,Reference,DatabaseId,ExptID,UniqueId,StudyIncludesHousingOrStorage,GasMeasured,EmissionMeasTechnique,ApplicStartDate,StartGasMeasurements,EndGasMeasurements,N2OChambersPerPlot,N2OChamberArea,N2OGasSamplesPerChamber,NumberOfMeasurementsOverTime,DurationOfEmissionMeasurement,CumulatEmission,NH3CumulEmission72h,EmissionFactor,AnimalCategory,AnimalSubCategory,AnimalBreed,DietDMContent,DietLipidContent,DietAshContent,DryMatterIntake,CrudeProtein,CrudeFibre,NDFContent,OMDigestibilityCoefficient,MultiphaseFeeding,Diet,SwineFeedType,ForageSpecies,ForageDMContent,ConcentrateType,ConcentrateDM,ProportionOfConcentrateInDiet,NitrogenDigestibilityCoefficient,NDFDigestibilityCoefficient,CH4Enteric,ManureType,ManureTreatment,TypeOfBeddingMaterial,ManureDurationOfStorage,ManureApplicMethod,ManureDM,ManureTotalN,ManureTAN,ManureRAN,ManureOrgC,ManureCNRatio,ManurePH,ManureTotalNVol,ManureApplicRate,ManureApplicRateUnit,ManureTNApplicRate,ManureTANApplicRate,ManureRANApplicRate,ManureApplicSeason,ManureSoilIncorporation,NH3TimeOfIncorporation,InhibitorType,RateOfInhibitorApplicUnit,RateOfInhibitorApplic,InhibitorTiming,SoilDepthMineralN,SoilNH4,SoilNO3,SoilDepthOther,SoilTotalNitrogen,SoilOrganicCarbon,SoilPH,SoilBulkDensity,SoilClay,SoilTexture,SoilWaterUnit,SoilWaterDay1Avg,SoilWaterFirst30dAvg,SoilWaterEntireExptAvg,CropType,NH3CropHeight,CropYieldDryMatter,CropTotalYieldUnit,CropTotalYield,CropTotalN,SlopeClass,ClimateZone,NH3AirTemperature24hAvg,AirTemperatureFirst30dAvg,AirTemperatureEntireExptAvg,TotalRainfallIrrigationEntireExpt,NH3RainIrrigation1h,NH3RainIrrigation6h,RainfallIrrigation30d,NH3WindSpeed12h,NH3WindSpeed3d,NH3WindSpeedHeight,Version
"2744","N2O & NH3 emissions from dairy cow manure after application to pasture.Weeping wall 1.5 t DW/ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ4","AR-F2-24","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.35","","0.104","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","solid separation","","1","broadcast","14.7","3.7","1.01","","64.2","17","7.3","","10.2","t/ha","38","10.4","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2745","N2O & NH3 emissions from dairy cow manure after application to pasture.Weeping wall 3.0 t DW/ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ4","AR-F2-25","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.67","","0.107","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","solid separation","","1","broadcast","14.7","3.7","1.01","","64.2","17","7.3","","20.4","t/ha","76","20.7","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2746","N2O & NH3 emissions from dairy cow manure after application to pasture.Weeping wall 4.5 t DW/ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ4","AR-F2-26","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.67","","0.116","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","solid separation","","1","broadcast","14.7","3.7","1.01","","64.2","17","7.3","","30.6","t/ha","114","31.1","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2880","1","Italy","CRPA","1","-99","","","","","","dataset+publication","","","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., GÃ©nermont, S., HÃ¤ni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66â€“79. https://doi.org/10.1016/j.agrformet.2017.11.027","ALFAM2-122","DK23","SH-F1-122","","NH3","windtunnel","","1/08/1994 12:00:00 AM","4/08/1994 12:00:00 AM","","","","16","3","12.004","12.004","0.0480352140856342","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","none","","broadcast","1.18","2.94","1.82","","","","","","85","t/ha","249.9","154.7","","","none","","none","","","","","","","","","2.47","7.6","","39","loam","","","","","bare soil","","","","","","","temperate wet","23.875","","25.833","","","","","2.2386","2.2386","2","All Field data 6 July 2020 (file B)"
"2898","7","Italy","CRPA","1","-99","","","","","","dataset+publication","","","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., GÃ©nermont, S., HÃ¤ni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66â€“79. https://doi.org/10.1016/j.agrformet.2017.11.027","ALFAM2-140","DK28","SH-F1-140","","NH3","windtunnel","","20/05/1998 12:00:00 AM","23/05/1998 12:00:00 AM","","","","15","2.79166666666667","53.92","","0.19326164874552","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","none","","trailing hose","2.49","2.79","1.88","","","","7.43","","100","t/ha","279","188","","","none","","none","","","","","","","","","2.4","7.5","","41","loam","","","","","grass","3","","","","","","temperate wet","","","","","","","","2.4855","2.429","2","All Field data 6 July 2020 (file B)"
"2900","7","Italy","CRPA","3","-99","","","","","","dataset+publication","","","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., GÃ©nermont, S., HÃ¤ni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66â€“79. https://doi.org/10.1016/j.agrformet.2017.11.027","ALFAM2-142","DK28","SH-F1-142","","NH3","windtunnel","","20/05/1998 12:00:00 AM","23/05/1998 12:00:00 AM","","","","16","2.91666666666667","110.46","","0.395913978494624","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","none","","broadcast","2.49","2.79","1.9","","","","7.43","","100","t/ha","279","190","","","none","","none","","","","","","","","","2.4","7.5","","41","loam","","","","","grass","3","","","","","","temperate wet","","","","","","","","2.3538","2.3905","2","All Field data 6 July 2020 (file B)"
"2907","9","Italy","CRPA","2","-99","","","","","","dataset+publication","","","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., GÃ©nermont, S., HÃ¤ni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66â€“79. https://doi.org/10.1016/j.agrformet.2017.11.027","ALFAM2-149","DK30","SH-F1-149","","NH3","dynamic enclosure","","17/06/1999 12:00:00 AM","18/06/1999 12:00:00 AM","","","","8","1.28820833333333","81.3","","0.32598235765838","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","none","","broadcast","4.03","4.3","2.56","","","","7.99","","58","t/ha","249.4","148.48","","","none","","none","","","","","","","","","2.45","7.5","","39","loam","","","","","grass","","","","","","","temperate wet","22.898","","24.316","","","","","1.3092","1.2245","2","All Field data 6 July 2020 (file B)"
"3403","37043","Canada","AAFC","decanted","-99","","","","","","dataset+publication","46.8","-71.383","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Chantigny, M.H., Angers, D. A., Rochette, P., Belanger, G., Masse, D., & Cote, D. 2007. Gaseous nitrogen emissions and forage nitrogen uptake on soils fertilized with raw and treated swine manure. Journal of Environmental Quality, 36(6), 1864\u20131872.","ALFAM2-807","DK158","SH-F1-645","","NH3","windtunnel","19/06/2001 12:00:00 AM","18/06/2001 12:00:00 AM","29/06/2001 12:00:00 AM","","","","16","6.76416666666667","","","","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","","","broadcast","1.5","2.69","2.02","","","","8.06","","52.74","t/ha","141.8706","106.53","","","none","","none","","","","","","","","","","6.5","1.2","17.1","sandy loam","","","","","grass","5","","","","","","temperate wet","15.544","","22.165","0","0","0","","2.1967","2.1967","2","All Field data 6 July 2020 (file B)"
"3405","37043","Canada","AAFC","filtered","-99","","","","","","dataset+publication","46.8","-71.383","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Chantigny, M.H., Angers, D. A., Rochette, P., Belanger, G., Masse, D., & Cote, D. 2007. Gaseous nitrogen emissions and forage nitrogen uptake on soils fertilized with raw and treated swine manure. Journal of Environmental Quality, 36(6), 1864\u20131872.","ALFAM2-809","DK158","SH-F1-647","","NH3","windtunnel","19/06/2001 12:00:00 AM","18/06/2001 12:00:00 AM","29/06/2001 12:00:00 AM","","","","16","6.76416666666667","","","","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","","","broadcast","1.3","3.37","2.38","","","","7.91","","44.16","t/ha","148.8192","105.1","","","none","","none","","","","","","","","","","6.5","1.2","17.1","sandy loam","","","","","grass","5","","","","","","temperate wet","15.544","","22.165","0","0","0","","2.1967","2.1967","2","All Field data 6 July 2020 (file B)"
"3407","37043","Canada","AAFC","decanted","-99","","","","","","dataset+publication","46.8","-71.383","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Chantigny, M.H., Angers, D. A., Rochette, P., Belanger, G., Masse, D., & Cote, D. 2007. Gaseous nitrogen emissions and forage nitrogen uptake on soils fertilized with raw and treated swine manure. Journal of Environmental Quality, 36(6), 1864\u20131872.","ALFAM2-811","DK158","SH-F1-649","","NH3","windtunnel","18/06/2001 12:00:00 AM","19/06/2001 12:00:00 AM","26/06/2001 12:00:00 AM","","","","21","11.1079166666667","","3.5702","","swine","","","","","","","","","","","","","","","","","","","","","","slurry","solid separation","","","broadcast","1.5","2.69","2.02","","","","8.06","","52.74","t/ha","141.8706","106.53","","","none","","none","","","","","","","","","","6.1","1.2","22.7","loam","","","","","grass","5","","","","","","temperate wet","26.893","","23.161","1.9","0","0","","2.1967","2.1967","2","All Field data 6 July 2020 (file B)"
