Id,TrialDescription,Country,InstituteName,TreatmentID,ReplicateNumber,NumberOfReplicates,IfMeanHowCalculated,IfMeanWhatVariationUnit,DegreeOfVariation,DescribeStatMethodUsed,SourceOfData,Latitude,Longitude,OnlineLinkPaper,Reference,DatabaseId,ExptID,UniqueId,StudyIncludesHousingOrStorage,GasMeasured,EmissionMeasTechnique,ApplicStartDate,StartGasMeasurements,EndGasMeasurements,N2OChambersPerPlot,N2OChamberArea,N2OGasSamplesPerChamber,NumberOfMeasurementsOverTime,DurationOfEmissionMeasurement,CumulatEmission,NH3CumulEmission72h,EmissionFactor,AnimalCategory,AnimalSubCategory,AnimalBreed,DietDMContent,DietLipidContent,DietAshContent,DryMatterIntake,CrudeProtein,CrudeFibre,NDFContent,OMDigestibilityCoefficient,MultiphaseFeeding,Diet,SwineFeedType,ForageSpecies,ForageDMContent,ConcentrateType,ConcentrateDM,ProportionOfConcentrateInDiet,NitrogenDigestibilityCoefficient,NDFDigestibilityCoefficient,CH4Enteric,ManureType,ManureTreatment,TypeOfBeddingMaterial,ManureDurationOfStorage,ManureApplicMethod,ManureDM,ManureTotalN,ManureTAN,ManureRAN,ManureOrgC,ManureCNRatio,ManurePH,ManureTotalNVol,ManureApplicRate,ManureApplicRateUnit,ManureTNApplicRate,ManureTANApplicRate,ManureRANApplicRate,ManureApplicSeason,ManureSoilIncorporation,NH3TimeOfIncorporation,InhibitorType,RateOfInhibitorApplicUnit,RateOfInhibitorApplic,InhibitorTiming,SoilDepthMineralN,SoilNH4,SoilNO3,SoilDepthOther,SoilTotalNitrogen,SoilOrganicCarbon,SoilPH,SoilBulkDensity,SoilClay,SoilTexture,SoilWaterUnit,SoilWaterDay1Avg,SoilWaterFirst30dAvg,SoilWaterEntireExptAvg,CropType,NH3CropHeight,CropYieldDryMatter,CropTotalYieldUnit,CropTotalYield,CropTotalN,SlopeClass,ClimateZone,NH3AirTemperature24hAvg,AirTemperatureFirst30dAvg,AirTemperatureEntireExptAvg,TotalRainfallIrrigationEntireExpt,NH3RainIrrigation1h,NH3RainIrrigation6h,RainfallIrrigation30d,NH3WindSpeed12h,NH3WindSpeed3d,NH3WindSpeedHeight,Version
"2732","Use of N inhibitors to reduce gaseous N losses from land-applied farm effluent","New Zealand","AgResearch","","-100","4","","LSD","1.21","ANOVA. NH3,N20 &NH4-N data were Log transformed before analysis.","Most data extracted from paper","-37.46","175.18","https://link.springer.com/article/10.1007/s00374-013-0842-2","Li, J., Shi, Y., Luo, J., Zaman, M., Houlbrooke, D., Ding, W., Ledgard, S., Ghani, A., 2014. Use of nitrogen process inhibitors for reducing gaseous nitrogen losses from land-applied farm effluents. Biol. Fertil. Soils 50, 133-145.","","NZ2","AR-F2-6","","NH3","dynamic enclosure","2/08/2012 12:00:00 AM","2/08/2012 12:00:00 AM","29/08/2012 12:00:00 AM","","","","10","27","15","","","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","pasture (ryegrass/clover mixed sward)","","grass","","none","","","","","","slurry","none","","","broadcast","9.2","5.2","0.92","","28","","8","","","","100","","","winter","none","","none","","","","","","","7.5","0.95","9.3","6","0.72","22","silt loam","WFPS (%)","74","","","grass","","","","","","low (<12 degrees)","temperate wet","","","","","","","","","","","All Field data 6 July 2020 (file B)"
"2733","Use of N inhibitors to reduce gaseous N losses from land-applied farm effluent","New Zealand","AgResearch","","-100","4","","LSD","0.61","ANOVA. NH3,N20 &NH4-N data were Log transformed before analysis.","Most data extracted from paper","-37.46","175.18","https://link.springer.com/article/10.1007/s00374-013-0842-2","Li, J., Shi, Y., Luo, J., Zaman, M., Houlbrooke, D., Ding, W., Ledgard, S., Ghani, A., 2014. Use of nitrogen process inhibitors for reducing gaseous nitrogen losses from land-applied farm effluents. Biol. Fertil. Soils 50, 133-145.","","NZ2","AR-F2-7","","NH3","dynamic enclosure","2/08/2012 12:00:00 AM","2/08/2012 12:00:00 AM","29/08/2012 12:00:00 AM","","","","10","27","7","","","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","pasture (ryegrass/clover mixed sward)","","grass","","none","","","","","","slurry","urease inhibitors","","","broadcast","9.2","5.2","0.92","","28","","8","","","","100","","","winter","none","","NBPT","L/ha","25","0","","","","7.5","0.95","9.3","6","0.72","22","silt loam","WFPS (%)","74","","","grass","","","","","","low (<12 degrees)","temperate wet","","","","","","","","","","","All Field data 6 July 2020 (file B)"
"2734","Use of N inhibitors to reduce gaseous N losses from land-applied farm effluent","New Zealand","AgResearch","","-100","4","","LSD","0.55","ANOVA. NH3,N20 &NH4-N data were Log transformed before analysis.","Most data extracted from paper","-37.46","175.18","https://link.springer.com/article/10.1007/s00374-013-0842-2","Li, J., Shi, Y., Luo, J., Zaman, M., Houlbrooke, D., Ding, W., Ledgard, S., Ghani, A., 2014. Use of nitrogen process inhibitors for reducing gaseous nitrogen losses from land-applied farm effluents. Biol. Fertil. Soils 50, 133-145.","","NZ2","AR-F2-8","","NH3","dynamic enclosure","2/08/2012 12:00:00 AM","2/08/2012 12:00:00 AM","29/08/2012 12:00:00 AM","","","","10","27","17","","","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","pasture (ryegrass/clover mixed sward)","","grass","","none","","","","","","slurry","none","","4","broadcast","12.3","4.7","1.94","","38","","7.8","","","","100","","","winter","none","","none","","","","","","","7.5","0.95","9.3","6","0.72","22","silt loam","WFPS (%)","74","","","grass","","","","","","low (<12 degrees)","temperate wet","","","","","","","","","","","All Field data 6 July 2020 (file B)"
"2738","N2O & NH3 emissions from dairy cow manure after application to pasture Bunker 1.5t DW /ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ3","AR-F2-18","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","4.9","","0.208","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","covered","","1","broadcast","17.7","4.19","1.93","","77.7","19","7.8","","8.5","t/ha","34","16.4","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2739","N2O & NH3 emissions from dairy cow manure after application to pasture Bunker 3.0 t DW /ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ3","AR-F2-19","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.11","","0.215","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","covered","","1","broadcast","17.7","4.19","1.93","","77.7","19","7.8","","16.9","t/ha","68","32.7","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2740","N2O & NH3 emissions from dairy cow manure after application to pasture Bunker 4.5 t DW /ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ3","AR-F2-20","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.2","","0.224","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","covered","","1","broadcast","17.7","4.19","1.93","","77.7","19","7.8","","25.4","t/ha","102","49.1","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2744","N2O & NH3 emissions from dairy cow manure after application to pasture.Weeping wall 1.5 t DW/ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ4","AR-F2-24","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.35","","0.104","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","solid separation","","1","broadcast","14.7","3.7","1.01","","64.2","17","7.3","","10.2","t/ha","38","10.4","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2745","N2O & NH3 emissions from dairy cow manure after application to pasture.Weeping wall 3.0 t DW/ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ4","AR-F2-25","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.67","","0.107","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","solid separation","","1","broadcast","14.7","3.7","1.01","","64.2","17","7.3","","20.4","t/ha","76","20.7","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2746","N2O & NH3 emissions from dairy cow manure after application to pasture.Weeping wall 4.5 t DW/ha","New Zealand","AgResearch","","-100","6","","SEM","0.128 over all treatments (manure type & rate of application)","ANOVA. Data was log-transformed prior to analysis to normalise residuals.Back transformed means are presented.","Data extracted from paper & files","-45.863038","170.383444","https://doi.org/10.1080/00288233.2014.935447","van der Weerden, T.J., Luo, J., Dexter, M., & Rutherford, A.J. 2014. N2O,NH3 & CH4 emissions from dairy cow manure during storage & after application to pasture.NZ Journal of Agricultural Research.","","NZ4","AR-F2-26","","NH3","dynamic enclosure","20/11/2012 12:00:00 AM","20/11/2012 12:00:00 AM","13/12/2012 12:00:00 AM","","","","11","21","5.67","","0.116","dairy cattle","Milking cows","Holstein Friesian","","","","","","","","","","","","","","","","","","","","farmyard manure (FYM)","solid separation","","1","broadcast","14.7","3.7","1.01","","64.2","17","7.3","","30.6","t/ha","114","31.1","","spring","none","","none","","","","7.5","5","0.5","7.5","0.43","5.7","6.3","0.84","","silt loam","WFPS (%)","89","64","63","grass","","","","","","low (<12 degrees)","temperate wet","","","","154","","","","","","","All Field data 6 July 2020 (file B)"
"2759","1_DR_p1","United Kingdom","ADAS","1","1","","","","","","dataset+publication","","","https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., GÃ©nermont, S., HÃ¤ni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66â€“79. https://doi.org/10.1016/j.agrformet.2017.11.027","ALFAM2-1","DK1","SH-F1-1","","NH3","windtunnel","","7/09/1998 12:00:00 AM","11/09/1998 12:00:00 AM","","","","7","3.91595833333333","16.559","15.695","0.0869695378151261","swine","","","","","","","","","","","","","","","","","","","","","","slurry","none","none","","broadcast","4.74","4.76","3.19","","","","7.17","","40","t/ha","190.4","127.6","","","none","","none","","","","","","","","","2.58","7.9","","61.5","clay","","","","","stubble","","","","","","","temperate wet","19.689","","17.23","","","","","0.82301","0.82301","2","All Field data 6 July 2020 (file B)"
