"app.timing","air.temp","wind.2m","rain.rate","man.source","fraction","man.dm","man.ph","incorp","app.mthd","t.incorp","app.rate.ni","ct","tan.app","id","EF","EFp"
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Svinegylle","raw",3.9,7.2,"none","Trailing hose",NA,30,168,100,1,0.14,14
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Svinegylle","raw",3.9,7.2,"none","Trailing hose",NA,30,168,100,2,0.15,15
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Svinegylle","raw",3.9,7.2,"none","Trailing hose",NA,30,168,100,3,0.15,15
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Svinegylle","raw",3.9,7.2,"none","Trailing hose",NA,30,168,100,4,0.16,16
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Svinegylle","raw",3.9,7.2,"none","Trailing hose",NA,30,168,100,5,0.15,15
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Kvæggylle","raw",6.5,7,"none","Trailing hose",NA,30,168,100,6,0.22,22
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Kvæggylle","raw",6.5,7,"none","Trailing hose",NA,30,168,100,7,0.26,26
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Kvæggylle","raw",6.5,7,"none","Trailing hose",NA,30,168,100,8,0.3,30
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Kvæggylle","raw",6.5,7,"none","Trailing hose",NA,30,168,100,9,0.33,33
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Kvæggylle","raw",6.5,7,"none","Trailing hose",NA,30,168,100,10,0.31,31
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Afgasset biomasse","raw",5.9,7.9,"none","Trailing hose",NA,30,168,100,11,0.32,32
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Afgasset biomasse","raw",5.9,7.9,"none","Trailing hose",NA,30,168,100,12,0.33,33
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Afgasset biomasse","raw",5.9,7.9,"none","Trailing hose",NA,30,168,100,13,0.34,34
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Afgasset biomasse","raw",5.9,7.9,"none","Trailing hose",NA,30,168,100,14,0.35,35
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Afgasset biomasse","raw",5.9,7.9,"none","Trailing hose",NA,30,168,100,15,0.35,35
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Svinegylle","liquid",1.95,7.2,"none","Trailing hose",NA,30,168,100,16,0.11,11
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Svinegylle","liquid",1.95,7.2,"none","Trailing hose",NA,30,168,100,17,0.12,12
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Svinegylle","liquid",1.95,7.2,"none","Trailing hose",NA,30,168,100,18,0.12,12
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Svinegylle","liquid",1.95,7.2,"none","Trailing hose",NA,30,168,100,19,0.12,12
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Svinegylle","liquid",1.95,7.2,"none","Trailing hose",NA,30,168,100,20,0.12,12
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Kvæggylle","liquid",3.25,7,"none","Trailing hose",NA,30,168,100,21,0.15,15
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Kvæggylle","liquid",3.25,7,"none","Trailing hose",NA,30,168,100,22,0.16,16
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Kvæggylle","liquid",3.25,7,"none","Trailing hose",NA,30,168,100,23,0.17,17
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Kvæggylle","liquid",3.25,7,"none","Trailing hose",NA,30,168,100,24,0.17,17
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Kvæggylle","liquid",3.25,7,"none","Trailing hose",NA,30,168,100,25,0.17,17
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Afgasset biomasse","liquid",2.95,7.9,"none","Trailing hose",NA,30,168,100,26,0.2,20
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Afgasset biomasse","liquid",2.95,7.9,"none","Trailing hose",NA,30,168,100,27,0.2,20
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Afgasset biomasse","liquid",2.95,7.9,"none","Trailing hose",NA,30,168,100,28,0.21,21
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Afgasset biomasse","liquid",2.95,7.9,"none","Trailing hose",NA,30,168,100,29,0.21,21
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Afgasset biomasse","liquid",2.95,7.9,"none","Trailing hose",NA,30,168,100,30,0.21,21
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Svinegylle","solid",15,7.2,"deep","Broadcast",4,30,168,100,31,0.055,5.5
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Svinegylle","solid",15,7.2,"deep","Broadcast",4,30,168,100,32,0.08,8
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Svinegylle","solid",15,7.2,"deep","Broadcast",4,30,168,100,33,0.12,12
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Svinegylle","solid",15,7.2,"deep","Broadcast",4,30,168,100,34,0.2,20
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Svinegylle","solid",15,7.2,"deep","Broadcast",4,30,168,100,35,0.15,15
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Kvæggylle","solid",15,7,"deep","Broadcast",4,30,168,100,36,0.045,4.5
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Kvæggylle","solid",15,7,"deep","Broadcast",4,30,168,100,37,0.066,6.6
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Kvæggylle","solid",15,7,"deep","Broadcast",4,30,168,100,38,0.1,10
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Kvæggylle","solid",15,7,"deep","Broadcast",4,30,168,100,39,0.16,16
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Kvæggylle","solid",15,7,"deep","Broadcast",4,30,168,100,40,0.12,12
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Afgasset biomasse","solid",15,7.9,"deep","Broadcast",4,30,168,100,41,0.13,13
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Afgasset biomasse","solid",15,7.9,"deep","Broadcast",4,30,168,100,42,0.19,19
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Afgasset biomasse","solid",15,7.9,"deep","Broadcast",4,30,168,100,43,0.3,30
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Afgasset biomasse","solid",15,7.9,"deep","Broadcast",4,30,168,100,44,0.46,46
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Afgasset biomasse","solid",15,7.9,"deep","Broadcast",4,30,168,100,45,0.36,36
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Svinegylle","solid",15,7.2,"none","Broadcast",NA,30,168,100,46,0.46,46
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Svinegylle","solid",15,7.2,"none","Broadcast",NA,30,168,100,47,0.57,57
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Svinegylle","solid",15,7.2,"none","Broadcast",NA,30,168,100,48,0.67,67
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Svinegylle","solid",15,7.2,"none","Broadcast",NA,30,168,100,49,0.76,76
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Svinegylle","solid",15,7.2,"none","Broadcast",NA,30,168,100,50,0.71,71
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Kvæggylle","solid",15,7,"none","Broadcast",NA,30,168,100,51,0.41,41
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Kvæggylle","solid",15,7,"none","Broadcast",NA,30,168,100,52,0.51,51
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Kvæggylle","solid",15,7,"none","Broadcast",NA,30,168,100,53,0.63,63
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Kvæggylle","solid",15,7,"none","Broadcast",NA,30,168,100,54,0.73,73
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Kvæggylle","solid",15,7,"none","Broadcast",NA,30,168,100,55,0.67,67
"Marts",4.43101207056639,4.05891613991413,0.0599629009095261,"Afgasset biomasse","solid",15,7.9,"none","Broadcast",NA,30,168,100,56,0.72,72
"April",8.23645983645984,3.84445591865745,0.0552119412831931,"Afgasset biomasse","solid",15,7.9,"none","Broadcast",NA,30,168,100,57,0.8,80
"Maj",12.4492495309568,3.48391526295633,0.0702993488962998,"Afgasset biomasse","solid",15,7.9,"none","Broadcast",NA,30,168,100,58,0.86,86
"Sommer",16.8762259816193,3.15624012423227,0.105925308296069,"Afgasset biomasse","solid",15,7.9,"none","Broadcast",NA,30,168,100,59,0.9,90
"Efterår",14.4977479635841,3.32276959833633,0.128260170445409,"Afgasset biomasse","solid",15,7.9,"none","Broadcast",NA,30,168,100,60,0.88,88
