"app.timing","man.source","EF.field.liquid_none","EF.field.raw_none","EF.field.solid_deep","EF.field.solid_none","scenario","sep.eff.TAN","EF.stor.raw","EF.stor.liquid","EF.stor.solid","EF.raw.overall","EF.sep.incorp.overall","EF.sep.surface.overall"
"Marts","Kvæggylle",0.15,0.22,0.045,0.41,"low",0.05,0.1,0.01,0.05,0.298,0.1552125,0.17255
"Marts","Kvæggylle",0.15,0.22,0.045,0.41,"mid",0.15,0.1,0.1,0.1,0.298,0.220825,0.2701
"Marts","Kvæggylle",0.15,0.22,0.045,0.41,"high",0.25,0.1,0.15,0.2,0.298,0.267125,0.340125
"Marts","Svinegylle",0.11,0.14,0.055,0.46,"low",0.05,0.1,0.01,0.05,0.226,0.1180675,0.137305
"Marts","Svinegylle",0.11,0.14,0.055,0.46,"mid",0.15,0.1,0.1,0.1,0.226,0.191575,0.24625
"Marts","Svinegylle",0.11,0.14,0.055,0.46,"high",0.25,0.1,0.15,0.2,0.226,0.243625,0.324625
"Marts","Afgasset biomasse",0.2,0.32,0.13,0.72,"low",0.05,0.1,0.01,0.05,0.388,0.206275,0.2343
"Marts","Afgasset biomasse",0.2,0.32,0.13,0.72,"mid",0.15,0.1,0.1,0.1,0.388,0.27055,0.3502
"Marts","Afgasset biomasse",0.2,0.32,0.13,0.72,"high",0.25,0.1,0.15,0.2,0.388,0.316,0.434
"April","Kvæggylle",0.16,0.26,0.066,0.51,"low",0.05,0.1,0.01,0.05,0.334,0.165615,0.186705
"April","Kvæggylle",0.16,0.26,0.066,0.51,"mid",0.15,0.1,0.1,0.1,0.334,0.23131,0.29125
"April","Kvæggylle",0.16,0.26,0.066,0.51,"high",0.25,0.1,0.15,0.2,0.334,0.2777,0.3665
"April","Svinegylle",0.12,0.15,0.08,0.57,"low",0.05,0.1,0.01,0.05,0.235,0.12866,0.151935
"April","Svinegylle",0.12,0.15,0.08,0.57,"mid",0.15,0.1,0.1,0.1,0.235,0.2026,0.26875
"April","Svinegylle",0.12,0.15,0.08,0.57,"high",0.25,0.1,0.15,0.2,0.235,0.255,0.353
"April","Afgasset biomasse",0.2,0.33,0.19,0.8,"low",0.05,0.1,0.01,0.05,0.397,0.209125,0.2381
"April","Afgasset biomasse",0.2,0.33,0.19,0.8,"mid",0.15,0.1,0.1,0.1,0.397,0.27865,0.361
"April","Afgasset biomasse",0.2,0.33,0.19,0.8,"high",0.25,0.1,0.15,0.2,0.397,0.328,0.45
"Maj","Kvæggylle",0.17,0.3,0.1,0.63,"low",0.05,0.1,0.01,0.05,0.37,0.176635,0.20181
"Maj","Kvæggylle",0.17,0.3,0.1,0.63,"mid",0.15,0.1,0.1,0.1,0.37,0.24355,0.3151
"Maj","Kvæggylle",0.17,0.3,0.1,0.63,"high",0.25,0.1,0.15,0.2,0.37,0.290875,0.396875
"Maj","Svinegylle",0.12,0.15,0.12,0.67,"low",0.05,0.1,0.01,0.05,0.235,0.13056,0.156685
"Maj","Svinegylle",0.12,0.15,0.12,0.67,"mid",0.15,0.1,0.1,0.1,0.235,0.208,0.28225
"Maj","Svinegylle",0.12,0.15,0.12,0.67,"high",0.25,0.1,0.15,0.2,0.235,0.263,0.373
"Maj","Afgasset biomasse",0.21,0.34,0.3,0.86,"low",0.05,0.1,0.01,0.05,0.406,0.223755,0.250355
"Maj","Afgasset biomasse",0.21,0.34,0.3,0.86,"mid",0.15,0.1,0.1,0.1,0.406,0.30115,0.37675
"Maj","Afgasset biomasse",0.21,0.34,0.3,0.86,"high",0.25,0.1,0.15,0.2,0.406,0.356375,0.468375
"Sommer","Kvæggylle",0.17,0.33,0.16,0.73,"low",0.05,0.1,0.01,0.05,0.397,0.179485,0.20656
"Sommer","Kvæggylle",0.17,0.33,0.16,0.73,"mid",0.15,0.1,0.1,0.1,0.397,0.25165,0.3286
"Sommer","Kvæggylle",0.17,0.33,0.16,0.73,"high",0.25,0.1,0.15,0.2,0.397,0.302875,0.416875
"Sommer","Svinegylle",0.12,0.16,0.2,0.76,"low",0.05,0.1,0.01,0.05,0.244,0.13436,0.16096
"Sommer","Svinegylle",0.12,0.16,0.2,0.76,"mid",0.15,0.1,0.1,0.1,0.244,0.2188,0.2944
"Sommer","Svinegylle",0.12,0.16,0.2,0.76,"high",0.25,0.1,0.15,0.2,0.244,0.279,0.391
"Sommer","Afgasset biomasse",0.21,0.35,0.46,0.9,"low",0.05,0.1,0.01,0.05,0.415,0.231355,0.252255
"Sommer","Afgasset biomasse",0.21,0.35,0.46,0.9,"mid",0.15,0.1,0.1,0.1,0.415,0.32275,0.38215
"Sommer","Afgasset biomasse",0.21,0.35,0.46,0.9,"high",0.25,0.1,0.15,0.2,0.415,0.388375,0.476375
"Efterår","Kvæggylle",0.17,0.31,0.12,0.67,"low",0.05,0.1,0.01,0.05,0.379,0.177585,0.20371
"Efterår","Kvæggylle",0.17,0.31,0.12,0.67,"mid",0.15,0.1,0.1,0.1,0.379,0.24625,0.3205
"Efterår","Kvæggylle",0.17,0.31,0.12,0.67,"high",0.25,0.1,0.15,0.2,0.379,0.294875,0.404875
"Efterår","Svinegylle",0.12,0.15,0.15,0.71,"low",0.05,0.1,0.01,0.05,0.235,0.131985,0.158585
"Efterår","Svinegylle",0.12,0.15,0.15,0.71,"mid",0.15,0.1,0.1,0.1,0.235,0.21205,0.28765
"Efterår","Svinegylle",0.12,0.15,0.15,0.71,"high",0.25,0.1,0.15,0.2,0.235,0.269,0.381
"Efterår","Afgasset biomasse",0.21,0.35,0.36,0.88,"low",0.05,0.1,0.01,0.05,0.415,0.226605,0.251305
"Efterår","Afgasset biomasse",0.21,0.35,0.36,0.88,"mid",0.15,0.1,0.1,0.1,0.415,0.30925,0.37945
"Efterår","Afgasset biomasse",0.21,0.35,0.36,0.88,"high",0.25,0.1,0.15,0.2,0.415,0.368375,0.472375
