"slurry.source","fraction","S.DM","DM.sep.eff","TAN.sep.eff","S.emis.perc","S.emis.ini"
"cattle","liquid","4.4 (3)","61.5 (5)","89.8 (5)","12.8 (1)","6.8 (2)"
"cattle digestate","liquid","2.9 (1)","53.3 (1)","96 (1)","NaN (0)","14.8 (1)"
"digestate","liquid","4.6 (2)","65.2 (2)","98.8 (1)","6.4 (1)","NaN (0)"
"digested pig","liquid","NaN (0)","NaN (0)","NaN (0)","NaN (0)","NaN (0)"
"pig","liquid","1.8 (3)","43.5 (10)","67.6 (11)","4.3 (2)","23.9 (3)"
"cattle","mix","NaN (0)","NaN (0)","NaN (0)","NaN (0)","NaN (0)"
"cattle","raw","6.4 (4)","NaN (0)","NaN (0)","10.2 (1)","8.8 (3)"
"cattle digestate","raw","5.1 (1)","NaN (0)","NaN (0)","NaN (0)","20.9 (1)"
"digestate","raw","6.3 (2)","NaN (0)","NaN (0)","6.2 (1)","NaN (0)"
"digested pig","raw","NaN (0)","NaN (0)","NaN (0)","NaN (0)","NaN (0)"
"pig","raw","4.4 (2)","NaN (0)","NaN (0)","3.7 (2)","2.9 (2)"
"cattle","solid","25.9 (3)","38.5 (5)","9.4 (5)","12.3 (1)","15.6 (2)"
"cattle digestate","solid","38.1 (1)","46.7 (1)","1.3 (1)","NaN (0)","0 (1)"
"digestate","solid","15.6 (2)","30.6 (2)","12.1 (1)","19.5 (1)","NaN (0)"
"pig","solid","18 (3)","52.6 (4)","13.5 (5)","13.7 (2)","2.9 (3)"
