"sep.scale","slurry.source","fraction","DM.mean","S.DM.mean","DM.sep.eff.mean","TAN.sep.eff.mean","S.emis.perc.mean","S.emis.ini.mean","DM.sd","S.DM.sd","DM.sep.eff.sd","TAN.sep.eff.sd","S.emis.perc.sd","S.emis.ini.sd","DM.n","S.DM.n","DM.sep.eff.n","TAN.sep.eff.n","S.emis.perc.n","S.emis.ini.n"
"full","cattle","liquid",3.2316149068323,4.035,62.8193332385954,91.4163265112257,NA,6.76391401686948,1.80921565352367,2.73650324319194,12.8582376906242,12.5832670285701,NA,6.02558116660124,23,2,4,4,0,2
"full","cattle","raw",7.29230769230769,4.4,NA,NA,NA,11.817323846703,1.91853309347773,2.40416305603426,NA,NA,NA,1.63036870266527,13,2,0,0,0,2
"full","cattle","solid",25.585,29.32,36.5618132896971,8.25454677217536,NA,15.64113526151,8.12516051123505,11.8511096526865,11.2494020091203,6.12797904355421,NA,3.77731726011179,4,2,4,4,0,2
"full","cattle digestate","liquid",2.9,2.9,53.3088235294118,96.0181451612903,NA,14.766201804758,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1
"full","cattle digestate","raw",5.1,5.1,NA,NA,NA,20.9187858900738,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1
"full","cattle digestate","solid",38.1,38.1,46.6911764705882,1.34104330708661,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1
"full","digestate","liquid",3.16666666666667,4.7,NA,NA,NA,NA,1.32790561913614,NA,NA,NA,NA,NA,3,1,0,0,0,0
"full","digestate","raw",4.2,5.6,NA,NA,NA,NA,1.21243556529821,NA,NA,NA,NA,NA,3,1,0,0,0,0
"full","pig","liquid",1.925,1.6,47.3526816467115,90.2566159586682,4.29,2.30944170771757,0.396862696659689,0.0707106781186547,15.9931124399325,8.15657183972734,2.72943217538007,1.31308219842999,4,2,4,4,2,2
"full","pig","solid",22.325,18.6,52.6473183532885,11.3867896096441,13.7,1.70205254515599,4.90739238292599,0.707106781186548,15.9931124399325,6.02672130593779,2.82842712474619,0.918774377590994,4,2,4,4,2,2
"lab","cattle","liquid",4.64555555555556,5.12,56.2788203753351,83.1156462585034,12.8,NA,1.39329897227544,NA,NA,NA,NA,NA,18,1,1,1,1,0
"lab","cattle","mix",6,NA,NA,NA,NA,NA,1.00747208398049,NA,NA,NA,NA,NA,5,0,0,0,0,0
"lab","cattle","raw",7.1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,12,0,0,0,0,0
"lab","cattle","solid",19.2,19.2,46.3270777479893,14.2040816326531,12.3,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0
"lab","digestate","liquid",4.595,4.595,65.2316253295205,98.7614457831325,6.4,NA,0.586898628384834,0.586898628384834,8.11297148215762,NA,NA,NA,2,2,2,1,1,0
"lab","digestate","raw",6.275,6.275,NA,NA,6.2,NA,0.0212132034355966,0.0212132034355966,NA,NA,NA,NA,2,2,0,0,1,0
"lab","digestate","solid",15.55,15.55,30.5947992194525,12.0819277108434,19.46,NA,0.919238815542511,0.919238815542511,6.57709682090649,NA,NA,NA,2,2,2,1,1,0
"lab","digested pig","liquid",2.3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,0,0,0,0,0
"lab","digested pig","raw",3.4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,0,0,0,0,0
"lab","pig","liquid",1.725,2.15,NA,41,NA,66.9771659385047,0.601040764008565,NA,NA,NA,NA,NA,2,1,0,1,0,1
"lab","pig","solid",16.68,16.68,NA,22,NA,5.15208968757728,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1
"pilot","digested pig","liquid",0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"pilot","pig","liquid",2.4025,NA,40.9497816593886,56.9148936170213,NA,NA,1.07461288710998,NA,0,0,NA,NA,8,0,3,3,0,0
"unknown","cattle","liquid",2.65333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"unknown","cattle","raw",5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"unknown","pig","liquid",1.83333333333333,NA,NA,NA,NA,NA,0.900370294193821,NA,NA,NA,NA,NA,6,0,0,0,0,0
