"loc","variable","n","val.loc"
"BLA","TS",1,4.99
"BLA","VS",1,3.51
"BLA","TN",1,4.7
"BLA","TAN",1,2.86
"BLA","pH",1,7.98
"BOR","TS",1,7.17
"BOR","VS",1,6.19
"BOR","TN",1,4.6
"BOR","TAN",1,2.45
"BOR","pH",1,7.62
"BRM","TS",2,4.865
"BRM","VS",2,3.46
"BRM","TN",2,4.51
"BRM","TAN",2,2.575
"BRM","pH",2,7.865
"COM","TS",2,4.585
"COM","VS",2,3.32
"COM","TN",2,6.62
"COM","TAN",2,5.29
"COM","pH",2,8.39
"DYBK","TN",1,9.39
"DYBK","TAN",1,1.88
"HAS","TS",3,5.30666666666667
"HAS","VS",3,3.39333333333333
"HAS","TN",3,6.61
"HAS","TAN",3,4.26666666666667
"HAS","pH",3,8.02333333333333
"HOL","TS",2,6.035
"HOL","VS",2,4.62
"HOL","TN",2,4.51
"HOL","TAN",2,2.335
"HOL","pH",2,7.65
"JPL","TS",2,5.78
"JPL","VS",2,4.185
"JPL","TN",2,4.29
"JPL","TAN",2,2.235
"JPL","pH",2,7.965
"KG","TN",1,3.72
"KG","TAN",1,2.22
"LEM","TS",2,5.975
"LEM","VS",2,2.9
"LEM","TN",2,4.835
"LEM","TAN",2,2.265
"LEM","pH",2,8
"LIN","TS",2,5.665
"LIN","VS",2,4.055
"LIN","TN",2,4.69
"LIN","TAN",2,2.79
"LIN","pH",2,7.935
"MA","TS",3,4.29666666666667
"MA","VS",3,2.83333333333333
"MA","TN",3,5.43
"MA","TAN",3,3.58666666666667
"MA","pH",3,8.04
"PA","TS",3,2.72
"PA","VS",3,1.82
"PA","TN",3,5.38
"PA","TAN",3,3.89
"PA","pH",3,7.92666666666667
"RI","TS",2,5.8
"RI","VS",2,4.1
"RI","TN",2,4.53
"RI","TAN",2,2.66
"RI","pH",2,7.895
"SLG","TN",1,5
"SLG","TAN",1,3.7
"THO","TS",3,4.67
"THO","VS",3,3.3
"THO","TN",3,4.64
"THO","TAN",3,3.13333333333333
"THO","pH",3,8.02333333333333
"VAA","TS",1,4.68
"VAA","VS",1,3.15398886827458
"VAA","TN",1,5
"VAA","TAN",1,3.22
"VAA","pH",1,7.6
"VEG","TS",1,4.06
"VEG","VS",1,2.46108995156816
"VEG","TN",1,4.4
"VEG","TAN",1,2.37
"VEG","pH",1,7.68
