"animal","pH","n.samp","dose.kg.t.mean","dose.kg.t.se","dose.kg.t.90lcl","dose.kg.t.90ucl","dose.kg.t.sd"
"Afgasset",6,11,13.9798465652651,0.907679720311585,13.2412268428955,15.6925396100772,3.01043306208826
"Afgasset",6.3,11,12.7957965770925,0.71553212539667,12.0439560421106,14.0181706039457,2.37315158538628
"Afgasset",6.6,11,10.17770364911,0.62147025025734,9.4417069068839,11.0208908182877,2.06118363847187
"Kvæg",6,8,5.68056710013551,0.56600729968121,5.04256782904991,6.44397373610716,1.60091039922268
"Kvæg",6.3,8,3.8371332910974,0.447919585818478,3.29816422239824,4.38434785224414,1.26690790623406
"Kvæg",6.6,8,1.84309747627187,0.275273216559641,1.49501776501016,2.18824984286896,0.778590232433421
"Slagtesvin",6,7,7.15825884769476,1.79959141162354,5.14290541856832,9.23952282185594,4.76127133668355
"Slagtesvin",6.3,7,4.88444662077416,1.56203696179681,3.10059009270948,7.03276197829794,4.13276133960527
"Slagtesvin",6.6,7,2.61196336718991,1.21055931334763,1.48714174451025,3.95359069474234,3.20283889041093
"So-/smågrise",6,6,4.77526124256667,1.26162171356996,3.25700238439883,6.13332940775606,3.09032944666216
"So-/smågrise",6.3,6,3.01180922452581,1.21293565683568,1.80616762672158,4.26260255697025,2.97107345007498
"So-/smågrise",6.6,6,1.54562820160216,0.848166074008393,0.718200463989621,2.45545629022713,2.07757409846024
