"datetime","height","...3","MPVPosition","pigs","period","day","feed","slurry_height","area","mass"
"2022-05-05",34.5,NA,3,0,0,NA,NA,0.155,215,33325
"2022-05-05 06:30:00",34.5,NA,3,0,0,NA,NA,0.155,215,33325
"2022-05-05 13:00:00",38,NA,3,304,1,0.270833333328483,1.40761062499983,0.12,215,25800
"2022-05-13",NA,NA,3,303,1,7.72916666666424,1.67364937499991,NA,215,NA
"2022-05-17 11:45:00",38,NA,3,302,1,12.21875,1.8337928125,0.12,215,25800
"2022-05-24 13:30:00",34,NA,3,302,1,19.2916666666642,2.08608374999991,0.16,215,34400
"2022-05-31 13:30:00",29.5,NA,3,302,1,26.2916666666642,2.33577374999991,0.205,215,44075
"2022-06-01 06:10:00",29,NA,3,301,1,26.9861111111095,2.36054458333328,0.21,215,45150
"2022-06-01 07:10:00",46,NA,3,301,1,27.0277777777737,2.36203083333319,0.04,215,8600
"2022-06-02 14:15:00",NA,NA,3,272,1,28.3229166666642,2.40822843749991,NA,215,NA
"2022-06-07 14:15:00",38,NA,3,272,1,33.3229166666642,2.58657843749991,0.12,215,25800
"2022-06-13 07:15:00",NA,NA,3,271,1,39.03125,2.7901946875,NA,215,NA
"2022-06-14 07:15:00",33.5,NA,3,271,1,40.03125,2.8258646875,0.165,215,35475
"2022-06-16",NA,NA,3,270,1,41.7291666666642,2.88642937499991,NA,215,NA
"2022-06-20",NA,NA,3,268,1,45.7291666666642,3.02910937499991,NA,215,NA
"2022-06-21 09:15:00",28,NA,3,268,1,47.1145833333285,3.07852718749983,0.22,215,47300
"2022-06-23",NA,NA,3,267,1,48.7291666666642,3.13611937499991,NA,215,NA
"2022-06-24",NA,NA,3,266,1,49.7291666666642,3.17178937499991,NA,215,NA
"2022-06-27",NA,NA,3,265,1,52.7291666666642,3.27879937499991,NA,215,NA
"2022-06-28 07:40:00",22.5,NA,3,265,1,54.0486111111095,3.32586395833328,0.275,215,59125
"2022-06-29 06:00:00",21,NA,3,265,1,54.9791666666642,3.35905687499991,0.29,215,62350
"2022-06-29 08:25:00",45,NA,3,265,1,55.0798611111095,3.36264864583328,0.05,215,10750
"2022-07-01",NA,NA,3,266,1,56.7291666666642,3.42147937499991,NA,215,NA
"2022-07-05 08:55:00",39,NA,3,266,1,61.1006944444453,3.57741177083336,0.11,215,23650
"2022-07-05 10:00:00",NA,NA,3,181,1,61.1458333333285,3.57902187499983,NA,215,NA
"2022-07-12 07:45:00",35,NA,3,181,1,68.0520833333285,3.82536781249983,0.15,215,32250
"2022-07-13 06:00:00",34,NA,3,180,1,68.9791666666642,3.85843687499991,0.16,215,34400
"2022-07-13 07:00:00",46,NA,3,180,1,69.0208333333285,3.85992312499983,0.04,215,8600
"2022-07-14",NA,NA,3,179,1,69.7291666666642,3.88518937499991,NA,215,NA
"2022-07-18",NA,NA,3,179,1,73.7291666666642,4.02786937499991,NA,215,NA
"2022-07-18 10:00:00",NA,NA,3,0,0,NA,NA,NA,215,NA
"2022-07-19 10:00:00",NA,36,3,0,0,NA,NA,NA,215,NA
"2022-07-21 13:26:00",36,NA,3,0,0,NA,NA,0.14,215,30100
"2022-07-26",36,NA,3,0,0,NA,NA,0.14,215,30100
"2022-08-09 09:00:00",44,NA,3,26,2,0,1.39795,0.06,215,12900
"2022-08-10",NA,NA,3,25,2,0.625,1.42024375,NA,215,NA
"2022-08-11",NA,NA,3,290,2,1.625,1.45591375,NA,215,NA
"2022-08-16 09:30:00",43,NA,3,290,2,7.02083333333576,1.64838312500009,0.07,215,15050
"2022-08-18",NA,NA,3,289,2,8.625,1.70560375,NA,215,NA
"2022-08-19",NA,NA,3,288,2,9.625,1.74127375,NA,215,NA
"2022-08-23 09:30:00",40,NA,3,283,2,14.0208333333358,1.89807312500009,0.1,215,21500
"2022-08-25",NA,NA,3,280,2,15.625,1.95529375,NA,215,NA
"2022-08-26",NA,NA,3,279,2,16.625,1.99096375,NA,215,NA
"2022-08-27",NA,NA,3,277,2,17.625,2.02663375,NA,215,NA
"2022-08-30 09:40:00",39,NA,3,274,2,21.027777777781,2.14801083333345,0.11,215,23650
"2022-08-30 13:00:00",45,NA,3,274,2,21.1666666666642,2.15296499999991,0.05,215,10750
"2022-09-07 10:00:00",40,NA,3,282,2,29.0416666666642,2.43386624999991,0.1,215,21500
"2022-09-08",NA,NA,3,267,2,29.625,2.45467375,NA,215,NA
"2022-09-13 10:00:00",37,NA,3,265,2,35.0416666666642,2.64788624999991,0.13,215,27950
"2022-09-14",NA,NA,3,264,2,35.625,2.66869375,NA,215,NA
"2022-09-20 10:00:00",30,NA,3,265,2,42.0416666666642,2.89757624999991,0.2,215,43000
"2022-09-27 10:30:00",26,NA,3,264,2,49.0625,3.148009375,0.24,215,51600
"2022-09-27 13:00:00",45,NA,3,264,2,49.1666666666642,3.15172499999991,0.05,215,10750
"2022-10-11 08:30:00",35,NA,3,272,2,62.9791666666642,3.64441687499991,0.15,215,32250
"2022-10-11 12:00:00",47,NA,3,272,2,63.125,3.64961875,0.03,215,6450
"2022-10-18 08:30:00",39,NA,3,270,2,69.9791666666642,3.89410687499991,0.11,215,23650
"2022-10-24",NA,NA,3,268,2,75.625,4.09549375,NA,215,NA
"2022-10-25 08:30:00",37,NA,3,62,2,76.9791666666642,4.14379687499991,0.13,215,27950
"2022-10-25 10:30:00",37,NA,3,0,0,NA,NA,0.13,215,27950
"2022-11-07 09:00:00",37,NA,3,223,3,0,1.39795,0.13,215,27950
"2022-11-08 09:00:00",37,NA,3,223,3,1,1.43362,0.13,215,27950
"2022-11-15 12:00:00",37,NA,3,223,3,8.125,1.68776875,0.13,215,27950
"2022-11-17",NA,NA,3,302,3,9.625,1.74127375,NA,215,NA
"2022-11-19",NA,NA,3,299,3,11.625,1.81261375,NA,215,NA
"2022-11-22 07:00:00",34,NA,3,299,3,14.9166666666642,1.93002749999991,0.16,215,34400
"2022-11-25",NA,NA,3,298,3,17.625,2.02663375,NA,215,NA
"2022-11-27",NA,NA,3,294,3,19.625,2.09797375,NA,215,NA
"2022-11-29 09:45:00",31,NA,3,299,3,22.03125,2.1838046875,0.19,215,40850
"2022-11-29 10:55:00",45,NA,3,299,3,22.0798611111095,2.18553864583328,0.05,215,10750
"2022-12-06 11:50:00",39,NA,3,299,3,29.1180555555547,2.43659104166664,0.11,215,23650
"2022-12-08",NA,NA,3,298,3,30.625,2.49034375,NA,215,NA
"2022-12-13 12:00:00",33,NA,3,272,3,36.125,2.68652875,0.17,215,36550
"2022-12-14",NA,NA,3,267,3,36.625,2.70436375,NA,215,NA
"2022-12-20 09:00:00",28,NA,3,272,3,43,2.93176,0.22,215,47300
"2022-12-27 07:00:00",23,NA,3,272,3,49.9166666666642,3.17847749999991,0.27,215,58050
"2022-12-27 10:15:00",35,NA,3,272,3,50.0520833333358,3.18330781250009,0.15,215,32250
"2023-01-01",NA,NA,3,271,3,54.625,3.34642375,NA,215,NA
"2023-01-03 08:30:00",30,NA,3,271,3,56.9791666666642,3.43039687499991,0.2,215,43000
"2023-01-05",NA,NA,3,270,3,58.625,3.48910375,NA,215,NA
"2023-01-09 16:30:00",24,NA,3,270,3,63.3125,3.656306875,0.26,215,55900
"2023-01-09 16:45:00",45,NA,3,270,3,63.3229166666642,3.65667843749991,0.05,215,10750
"2023-01-17 10:05:00",37,NA,3,270,3,71.0451388888905,3.93213010416672,0.13,215,27950
"2023-01-25",NA,NA,3,269,3,78.625,4.20250375,NA,215,NA
"2023-01-31 12:30:00",25,NA,3,269,3,85.1458333333358,4.43510187500009,0.25,215,53750
"2023-02-06 14:10:00",42,NA,3,269,3,91.215277777781,4.65159895833345,0.08,215,17200
"2023-02-07",NA,NA,3,269,3,91.625,4.66621375,NA,215,NA
"2023-02-09 09:00:00",41,NA,3,0,0,NA,NA,0.09,215,19350
"2022-05-09 06:30:00",45.5,NA,1,0,0,NA,NA,0.045,215,9675
"2022-05-09 08:00:00",45.5,NA,1,304,1,0.0625,1.400179375,0.045,215,9675
"2022-05-17 11:35:00",42,NA,1,304,1,8.21180555555475,1.69086510416664,0.08,215,17200
"2022-05-24 13:30:00",37,NA,1,304,1,15.2916666666642,1.94340374999991,0.13,215,27950
"2022-05-27",NA,NA,1,302,1,17.7291666666642,2.03034937499991,NA,215,NA
"2022-06-01 05:45:00",30,NA,1,302,1,22.96875,2.2172453125,0.2,215,43000
"2022-06-01 07:10:00",47,NA,1,302,1,23.0277777777737,2.21935083333319,0.03,215,6450
"2022-06-02",NA,NA,1,298,1,23.7291666666642,2.24436937499991,NA,215,NA
"2022-06-05",NA,NA,1,297,1,26.7291666666642,2.35137937499991,NA,215,NA
"2022-06-07 14:10:00",39.5,NA,1,297,1,29.3194444444453,2.44377458333336,0.105,215,22575
"2022-06-08",NA,NA,1,273,1,29.7291666666642,2.45838937499991,NA,215,NA
"2022-06-14 07:20:00",34,NA,1,273,1,36.034722222219,2.68330854166655,0.16,215,34400
"2022-06-18",NA,NA,1,272,1,39.7291666666642,2.81508937499991,NA,215,NA
"2022-06-21 09:20:00",28.5,NA,1,272,1,43.1180555555547,2.93597104166664,0.215,215,46225
"2022-06-28 07:40:00",23,NA,1,271,1,50.0486111111095,3.18318395833328,0.27,215,58050
"2022-06-29 07:00:00",22,NA,1,271,1,51.0208333333285,3.21786312499983,0.28,215,60200
"2022-06-29 08:20:00",46,NA,1,271,1,51.0763888888832,3.21984479166646,0.04,215,8600
"2022-07-05 09:00:00",37,NA,1,270,1,57.1041666666642,3.43485562499991,0.13,215,27950
"2022-07-06",NA,NA,1,269,1,57.7291666666642,3.45714937499991,NA,215,NA
"2022-07-11",NA,NA,1,268,1,62.7291666666642,3.63549937499991,NA,215,NA
"2022-07-12 07:50:00",30,NA,1,269,1,64.0555555555547,3.68281166666664,0.2,215,43000
"2022-07-13 05:45:00",29,NA,1,269,1,64.96875,3.7153853125,0.21,215,45150
"2022-07-13 07:00:00",46,NA,1,269,1,65.0208333333285,3.71724312499983,0.04,215,8600
"2022-07-14",NA,NA,1,268,1,65.7291666666642,3.74250937499991,NA,215,NA
"2022-07-21 13:26:00",36,NA,1,268,1,73.2888888888847,4.01216466666652,0.14,215,30100
"2022-07-25 08:30:00",28,NA,1,268,1,77.0833333333285,4.14751249999983,0.22,215,47300
"2022-07-25 12:00:00",28,NA,1,0,0,NA,NA,0.22,215,47300
"2022-07-26 09:30:00",28,NA,1,0,0,NA,NA,0.22,215,47300
"2022-07-26 11:30:00",45,NA,1,0,0,NA,NA,0.05,215,10750
"2022-08-09",45,NA,1,0,0,NA,NA,0.05,215,10750
"2022-08-11 08:30:00",NA,NA,1,95,2,0,1.39795,NA,215,NA
"2022-08-15 08:30:00",NA,NA,1,304,2,4,1.54063,NA,215,NA
"2022-08-16 09:30:00",43,NA,1,304,2,5.04166666667152,1.57778625000017,0.07,215,15050
"2022-08-19",NA,NA,1,302,2,7.64583333333576,1.67067687500009,NA,215,NA
