station,date,rh,surfwet,minte,maxte,temp,prec08,wv,glorad,netrad,heatflux,soilt10,soilt30,minrh,maxrh,vpd,makkepot,tsum10,tsum5,tsum0,akkmve
6031,1987-01-01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
6031,1987-01-26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0
