"decade","month","temp","wv","wind.2m"
"1980",1,2.2,5.2,4
"1980",2,2.5,5.7,4.4
"1980",3,2.4,4.9,3.8
"1980",4,5.9,4.3,3.3
"1980",5,11.1,4.2,3.2
"1980",6,13.9,3.1,2.4
"1980",7,15.6,3.7,2.9
"1980",8,14.6,3.9,3
"1980",9,12.7,3.8,3
"1980",10,9.4,4.5,3.5
"1980",11,4.8,4,3.1
"1980",12,3.4,4.9,3.7
"1990",1,1.5,5.1,3.9
"1990",2,1.7,5.4,4.1
"1990",3,3.5,5.1,3.9
"1990",4,6.7,4.5,3.5
"1990",5,10.8,3.9,3
"1990",6,13.7,3.7,2.9
"1990",7,16.3,3.5,2.7
"1990",8,16.6,3.5,2.7
"1990",9,12.8,3.8,2.9
"1990",10,8.6,4.1,3.2
"1990",11,4.3,4.3,3.3
"1990",12,1.7,4.6,3.5
"2000",1,1.9,4.9,3.8
"2000",2,1.7,4.5,3.4
"2000",3,3.1,4.5,3.5
"2000",4,7.6,4,3
"2000",5,11.6,3.8,2.9
"2000",6,14.3,3.8,2.9
"2000",7,16.8,3.3,2.6
"2000",8,16.9,3.4,2.6
"2000",9,13.7,3.8,2.9
"2000",10,9.4,3.9,3
"2000",11,6,4.4,3.4
"2000",12,2.8,4.2,3.2
"2010",1,1.1,4.8,3.6
"2010",2,1.2,4.7,3.6
"2010",3,4,4.6,3.5
"2010",4,7.6,4.4,3.4
"2010",5,11.5,4,3.1
"2010",6,14.6,3.8,2.9
"2010",7,16.9,3.5,2.7
"2010",8,16.4,3.5,2.7
"2010",9,13.7,3.8,3
"2010",10,9.7,4,3.1
"2010",11,5.6,4.1,3.2
"2010",12,3,4.8,3.7
"2020",1,4.5,6,4.6
