station,date,rh,minte,maxte,temp,prec,wv,winddir,minrh,maxrh,vpd,glorad,soilt10,soilt30,surfwet,grasstemp,netrad,heatflux,pres,wv2,wd2,makkepot,tsum10,tsum5,tsum0,akkmve
606900,01/01/2014,91.9,2.3,4.6,3.4,0,5.8,152.4,null,null,null,0.5,4.7,5.3,null,3.2,-2.8,-0.4,997,null,null,0.1,0,0,3.4,0
606900,02/01/2014,96.6,2.9,5.8,4.6,1.8,6.4,146.8,null,null,null,0.3,4.8,5.2,null,4.4,-1.8,-0.2,989.4,null,null,0,0,0,8,0
606900,03/01/2014,95.9,4.8,7.2,5.8,2.9,5.5,169.1,null,null,null,0.4,5.2,5.5,null,5.5,-3.5,-0.1,989.6,null,null,0.1,0,0.8,13.8,0
606900,04/01/2014,90.5,4.8,7,5.7,3.6,5.2,177.6,null,null,null,1.3,5.3,5.6,null,5.3,-3.9,-0.2,990,null,null,0.2,0,1.6,19.6,0
606900,05/01/2014,93.8,1,5.2,3.7,1,3.2,163.1,null,null,null,0.6,5.1,5.6,null,3.2,-4.6,-0.4,990.9,null,null,0.1,0,1.6,23.3,0
606900,06/01/2014,96.1,0.9,9.1,5.5,5,6.2,171.8,null,null,null,0.6,4.6,5.2,null,5.2,-2.9,-0.3,989.9,null,null,0.1,0,2.1,28.8,0
606900,07/01/2014,90.9,7.1,9.2,8.3,5,5.6,197.5,null,null,null,0.5,5.8,5.7,null,8,-2.5,0.3,991.7,null,null,0.1,0,5.4,37.1,0
606900,08/01/2014,90.1,6.6,8.5,7.7,0.6,5.4,210.9,null,null,null,0.6,6.3,6.2,null,7.5,-1.8,0.2,995.9,null,null,0.1,0,8.1,44.8,0
606900,09/01/2014,96.4,3.4,7.8,5.7,15.1,4.9,185.7,null,null,null,0.3,6.2,6.4,null,5.5,-2,-0.1,986.4,null,null,0,0,8.7,50.4,0
606900,10/01/2014,95,4.4,6.4,5.4,3.8,5,226.2,null,null,null,1.2,5.9,6.2,null,5.2,-2.6,-0.2,991.9,null,null,0.2,0,9.2,55.9,0
606900,11/01/2014,93.4,2.6,6.4,5,4.7,5.1,220.2,null,null,null,0.8,5.9,6.2,null,4.7,-2.6,-0.2,995.1,null,null,0.1,0,9.2,60.9,0
606900,12/01/2014,82.3,-2.8,4.6,2.6,0.1,5.2,210.2,null,null,null,1.9,5,5.8,null,2,-5.8,-0.7,1003.9,null,null,0.2,0,9.2,63.5,0
606900,13/01/2014,90.5,-3.2,2.6,-0.9,1.3,5.1,127.6,null,null,null,0.6,3.4,4.8,null,-1.1,-2.1,-1.2,1000,null,null,0.1,0,9.2,63.5,0
606900,14/01/2014,101.3,0.9,3.4,2.3,0.1,0.9,133.4,null,null,null,1.2,3.4,4.3,null,2.3,-1.2,-0.4,999.8,null,null,0.1,0,9.2,65.8,0
606900,15/01/2014,96.3,2.1,3.2,2.8,1.6,5.4,127.5,null,null,null,0.6,4,4.5,null,2.7,-1.7,-0.3,1000.2,null,null,0.1,0,9.2,68.6,0
606900,16/01/2014,96.4,0.5,2.5,1.2,7.3,8.3,117.1,null,null,null,0.5,3.6,4.4,null,1.1,-0.5,-0.6,995.4,null,null,0.1,0,9.2,69.8,0
606900,17/01/2014,100.5,0,0.8,0.3,6.7,6.8,109.9,null,null,null,0.5,3.1,4,null,0.2,-0.3,-0.7,993.3,null,null,0.1,0,9.2,70.1,0
606900,18/01/2014,98.5,0.2,1.4,0.6,1.6,7.4,104.1,null,null,null,0.6,2.8,3.7,null,0.5,-0.6,-0.6,999.5,null,null,0.1,0,9.2,70.8,0
606900,19/01/2014,89.9,-0.2,1.5,0.7,0,9.6,102.3,null,null,null,0.5,2.6,3.5,null,0.6,-1.1,-0.6,1004.1,null,null,0.1,0,9.2,71.5,0
606900,20/01/2014,88.6,-0.6,0.1,-0.2,0,7.2,82.7,null,null,null,0.2,2.2,3.2,null,-0.3,-1.3,-0.7,1004.8,null,null,0,0,9.2,71.5,0
606900,21/01/2014,94.1,-1.2,-0.6,-0.8,0,5.4,82.4,null,null,null,0.7,2,3,null,-0.8,-0.7,-0.6,1007.6,null,null,0.1,0,9.2,71.5,0
606900,22/01/2014,81.4,-1.5,-0.7,-1.2,0,6.8,102.7,null,null,null,0.7,1.8,2.8,null,-1.2,-1.2,-0.7,1010,null,null,0.1,0,9.2,71.5,0
606900,23/01/2014,75.8,-2.5,-1.1,-1.6,0,8.6,130.6,null,null,null,0.7,1.4,2.5,null,-1.6,-1.4,-0.9,1009.4,null,null,0.1,0,9.2,71.5,0
606900,24/01/2014,73.5,-4.4,-1.2,-2.7,0,6.9,114.9,null,null,null,1.5,1.1,2.3,null,-2.7,-2.8,-0.9,1013.5,null,null,0.2,0,9.2,71.5,0
606900,25/01/2014,74.2,-4.4,-2.8,-3.8,0,9.5,138.6,null,null,null,2.1,0.9,2,null,-3.8,-2.8,-0.8,1011.2,null,null,0.2,0,9.2,71.5,0
606900,26/01/2014,80.7,-6.3,-3.3,-4.6,0,7.9,125.6,null,null,null,0.8,0.7,1.8,null,-4.5,-1.5,-0.8,1001.2,null,null,0.1,0,9.2,71.5,0
606900,27/01/2014,92.7,-6.5,-1.4,-3.2,0,8.4,115.7,null,null,null,0.9,0.6,1.7,null,-3.2,-0.6,-0.8,987,null,null,0.1,0,9.2,71.5,0
606900,28/01/2014,95.8,-1.6,-0.2,-0.8,0,7,115.8,null,null,null,0.6,0.6,1.6,null,-0.9,-0.8,-0.7,996.6,null,null,0.1,0,9.2,71.5,0
606900,29/01/2014,91.9,-5.3,-0.7,-3.1,0,6.1,103.8,null,null,null,1,0.6,1.6,null,-3.2,-1.2,-0.6,1003.8,null,null,0.1,0,9.2,71.5,0
606900,30/01/2014,92,-4.8,-2,-3.6,0,5.5,99.3,null,null,null,1.5,0.6,1.5,null,-3.6,-0.7,-0.6,1006.5,null,null,0.1,0,9.2,71.5,0
